iyear,country_txt,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,gname,nkill,nwound
2013,Iraq,Baghdad,33.303566,44.371773,"10/07/2013: An explosives-laden vehicle and a roadside bomb detonated simultaneously in a market in the Husseiniya area of Baghdad city, Baghdad governorate, Iraq. At least five people were killed and another 20 people were injured in the blasts. This was one of 11 coordinated bombings in and around Baghdad city on this day. No group claimed responsibility for the coordinated incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,5,20
2013,Iraq,Baghdad,33.303566,44.371773,"10/07/2013: An explosives-laden vehicle detonated in the Zafaraniyah area of Baghdad city, Baghdad governorate, Iraq. At least four people were killed and another 11 people were injured in the blast. This was one of 11 coordinated bombings in and around Baghdad city on this day. No group claimed responsibility for the coordinated incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Baghdad,33.303566,44.371773,"10/07/2013: An explosives-laden vehicle detonated in a shopping area in the Dora district of Baghdad city, Baghdad governorate, Iraq. At least four people were killed and seven people were injured in the blast. This was one of 11 coordinated bombings in and around Baghdad city on this day. No group claimed responsibility for the coordinated incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,7
2013,Egypt,Al-Tour,28.245118,33.622913,"10/07/2013: A suicide bomber detonated an explosives-laden vehicle at security headquarters in Al-Tour town, South Siani governorate, Egypt. In addition to the bomber, at least five people were killed and 40 people were injured in the blast. Ansar Bayt al-Maqdis (Ansar Jerusalem) claimed responsibility for the incident, stating they carried out the attack to liberate the Muslim people from oppression.",Bombing/Explosion,Military,Ansar Bayt al-Maqdis (Ansar Jerusalem),6,40
2013,Afghanistan,Gizab district,33.428297,66.214583,"10/08/2013: Assailants attacked police checkposts in Gizab district, Uruzgan province, Afghanistan. At least 17 people, four police officers and 13 assailants, were killed and five police officers were injured in the ensuing clash which lasted until Wednesday, October 9, 2013. The Taliban claimed responsibility for the incident.",Armed Assault,Police,Taliban,17,5
2013,Afghanistan,Gereshk,31.825871,64.576431,"10/09/2013: A suicide bomber in an explosives-laden vehicle detonated targeting an Afghan police forces vehicle in Gareshk district, Helmand province, Afghanistan. In addition to the bomber, at least three people, including both police officers and civilians, were killed and another four were injured in the attack. The Taliban claimed responsibility for the incident.",Bombing/Explosion,Police,Taliban,4,4
2013,Iraq,Baiji,34.92485,43.491413,"10/09/2013: Assailants opened fire on an Iraqi police checkpoint in Baiji city, Baiji district, Saladin governorate, Iraq. Four police officers were killed and another six were injured in the attack. No group claimed responsibility for the incident.",Armed Assault,Police,Unknown,4,6
2013,Iraq,Nahr al Hafriyah district,32.992722,44.850572,"10/09/2013: A roadside bomb detonated as a bus carrying workers passed by near Nahr al Hafriyah town, Wasit governorate, Iraq. Eight people were killed and at least seven more were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion,Business,Unknown,8,7
2013,Pakistan,Quetta,30.200819,66.994354,"10/10/2013: An explosive device attached to a motorcycle detonated outside of a police station in Liaquat Bazaar, Quetta city, Balochistan province, Pakistan. At least six people were killed and 31 people were injured in the blast. The United Baloch Army (UBA) claimed responsibility for the incident.",Bombing/Explosion,Police,United Baloch Army (UBA),6,31
2013,Egypt,Arish,31.126646,33.800865,"10/10/2013: A suicide bomber detonated an explosives-laden vehicle at the joint police and military al-Rayessa checkpoint in Arish city, North Sinai governorate, Egypt. In addition to the bomber, the blast killed four people and injured another four people. No group claimed responsibility for the bombing; however, authorities attributed the attack to Ansar Bayt al-Maqdis (Ansar Jerusalem).",Bombing/Explosion,Military,Ansar Bayt al-Maqdis (Ansar Jerusalem),5,4
2013,Iraq,Samarra,34.208416,43.890713,"10/12/2013: An explosives-laden vehicle detonated at a wholesale produce market in Samarra city, Saladin governorate, Iraq. At least 12 people were killed and at least 22 others were injured in the blast. No group claimed responsibility for this attack.",Bombing/Explosion,Private Citizens & Property,Unknown,12,22
2013,Afghanistan,Duhab district,35.51078,71.00575,"10/12/2013: Assailants fired a rocket into a market in Duhab district, Nuristan province, Afghanistan. At least seven people were killed and at least nine others were injured as a result. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Bombing/Explosion,Private Citizens & Property,Taliban,7,9
2013,Syria,Damascus,33.488998,36.346882,"10/12/2013: Assailants fired two mortars into the Jaramana area of Damascus city, Damascus governorate, Syria. Four people were killed and five others were injured as a result. This was one of three mortar attacks in Damascus city on this day. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Unknown,4,5
2013,Iraq,Hillah,32.469238,44.416637,"10/13/2013: An explosives-laden vehicle detonated in a parking lot in Hillah city, Babil governorate, Iraq. This was one of two coordinated explosions in this location, and one of eight similar attacks across Iraq on this day, all of which used explosives-laden vehicles. At least eight people were killed and 22 people were injured across the two attacks. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Hillah,32.469238,44.416637,"10/13/2013: An explosives-laden vehicle detonated at an outdoor market in Hillah city, Babil governorate, Iraq. This was one of two coordinated explosions in this location, and one of eight similar attacks across Iraq on this day, all of which used explosives-laden vehicles. At least eight people were killed and 22 people were injured across the two attacks. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Samawah,31.300213,45.277092,"10/13/2013: Two explosives-laden vehicles detonated simultaneously near a car repair shop in Samawah city, Muthanna governorate, Iraq. At least four people were killed and another 13 people were injured in the blasts. This incident represents one of eight similar attacks across Iraq on this day, all of which used explosives-laden vehicles. No group claimed responsibility for this attack.",Bombing/Explosion,Business,Unknown,4,13
2013,Iraq,Samarra,34.208416,43.890713,"10/13/2013: At least one suicide bomber detonated at a security checkpoint near a shrine in Samarra city, Saladin governorate, Iraq. In addition to the bomber, at least four people, including a police officer, were killed and another 10 people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion,Police,Unknown,5,10
2013,Iraq,Suwayrah,32.925266,44.770956,"10/13/2013: Two explosives-laden vehicles detonated in Suwayrah city, Wasit governorate, Iraq. At least five people were killed and 14 people were injured as a result. This incident represents one of eight similar attacks across Iraq on this day, all of which used explosives-laden vehicles. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Unknown,5,14
2013,Afghanistan,Gizab district,33.428297,66.214583,"10/12/2013: Assailants attacked a police station in Gizab district, Uruzgan province, Afghanistan. This was one of two coordinated attacks against police stations in Gizab district on the same day. At least 21 people, including 10 police officers, eight assailants, and three civilians, were killed and 12 assailants were injured across the two attacks. No group claimed responsibility for the incidents; however, security officials attributed the attacks to the Taliban.",Unknown,Police,Taliban,11,6
2013,Afghanistan,Gizab district,33.428297,66.214583,"10/12/2013: Assailants attacked a police station in Gizab district, Uruzgan province, Afghanistan. This was one of two coordinated attacks against police stations in Gizab district on this day. At least 21 people, including 10 police officers, eight assailants, and three civilians, were killed and 12 assailants were injured across the two attacks. No group claimed responsibility for the incidents; however, security officials attributed the attacks to the Taliban.",Unknown,Police,Taliban,10,6
2013,Iraq,Kirkuk,35.45211,44.375465,"10/15/2013: An explosive device detonated near the Al-Quds Mosque in Kirkuk city, Kirkuk, Iraq. Around 12 people were killed and another 26 were injured in the blast. Several nearby vehicles and buildings were also damaged. No group claimed responsibility for the incident.",Bombing/Explosion,Police,Unknown,12,26
2013,Pakistan,Kulachi,31.932722,70.460876,"10/16/2013: A suicide bomber detonated at Isarullah Khan Gandapur's residence in Kulachi town, Khyber Pakhtunkhwa province, Pakistan. Gandapur, the provincial Minister of Law, and at least seven other people were killed, and at least 31 others were injured in the blast. Mujahideen Ansar claimed responsibility for the incident and stated that the attack was carried out to avenge the death of several of its members in a jailbreak in July.",Assassination,Government (General),Mujahideen Ansar,9,31
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated in the Husseiniya area of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, and one of three such attacks in Husseiniya. At least 45 people were killed and 125 others were wounded across all 12 attacks. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated in the Al-Husseiniya area of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, and one of three such attacks in Al-Husseiniya. At least 45 people were killed and 125 others were wounded across all 12 attacks. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated in the Al-Husseiniya area of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, and one of three such attacks in Al-Husseiniya. At least 45 people were killed and 125 others were wounded across all 12 attacks. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: A suicide bomber in an explosives-laden vehicle detonated at a police checkpoint in the Dora neighborhood of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, This was one of 12 such attacks in the city on this day, across which at least 45 people were killed and 125 others were wounded. No group claimed responsibility for the incident.",Bombing/Explosion,Police,Unknown,4,11
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated at a playground in the Sadr City neighborhood of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, across which at least 45 people were killed and 125 others were wounded. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,11
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated in the Jadida neighborhood of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, across which at least 45 people were killed and 125 others were wounded. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,10
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated in the Gareat area of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, across which at least 45 people were killed and 125 others were wounded. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,10
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated at an outdoor market in the Garage Al-Amana area of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, across which at least 45 people were killed and 125 others were wounded. This was also one of two such attacks in Garage Al-Amana. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,10
2013,Iraq,Baghdad,33.303566,44.371773,"10/17/2013: An explosives-laden vehicle detonated at an outdoor market in the Garage Al-Amana area of Baghdad city, Baghdad governorate, Iraq. This was one of 12 such attacks in the city on this day, across which at least 45 people were killed and 125 others were wounded. This was also one of two such attacks in Garage Al-Amana. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,4,10
2013,Iraq,Mosul,36.341501,43.137222,"10/17/2013: A suicide bomber in an explosives-laden vehicle detonated near a Shabak refugee compound in the Mwafaqiya area of Mosul city, Nineveh governorate, Iraq. At least 17 people, besides the assailant, were killed and 66 others were wounded. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Unknown,18,66
2013,Yemen,Unknown,14.360191,45.444517,"10/17/2013: Assailants attacked a security base in Al Bayda governorate, Yemen. At least eight soldiers were killed and 21 others were injured. This was one of three attacks on security targets in the area on this day. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP).",Unknown,Military,Al-Qaida in the Arabian Peninsula (AQAP),8,21
2013,Iraq,Baghdad,33.303566,44.371773,"10/18/2013: An explosives-laden vehicle detonated in the Mashtal neighborhood of Baghdad city, Baghdad governorate, Iraq. Eleven people were killed and 18 others were wounded as a result of the blast. No group claimed responsibility for the attack.",Bombing/Explosion,Business,Unknown,11,18
2013,Yemen,Ahwar,13.51633,46.711048,"10/18/2013: Assailants attacked a Yemen Army base in Ahwar district, Abyan governorate, Yemen. The assailants first detonated an explosives-laden vehicle, and then proceeded to attack the based with rocket-propelled grenades and small arms. In addition to one assailant, eight soldiers were killed and seven soldiers were wounded. No group claimed responsibility for this attack; however, sources attributed it to Al-Qaida in the Arabian Peninsula (AQAP).",Bombing/Explosion,Military,Al-Qaida in the Arabian Peninsula (AQAP),8,7
2013,Iraq,Dawr,34.440817,44.172027,"10/18/2013: Three explosive devices detonated simultaneously at a park in Daur village, Saladin governorate, Iraq. At least five people were killed and 20 others were wounded as a result of the blast. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Unknown,5,20
2013,Somalia,Beledweyne,4.73538,45.2024,"10/19/2013: A suicide bomber detonated an explosives-laden vest inside a cafe in Beledweyne city, Hiiraan region, Somalia. The cafe was frequented by African Union Mission in Somalia (AMISOM) troops. In addition to the bomber, at least 15 people, including civilians and soldiers, were killed and 33 others were wounded as a result of the blast. Al-Shabaab claimed responsibility for this attack.",Bombing/Explosion,Military,Al-Shabaab,16,33
2013,Syria,Mulayhah,33.484444,36.377289,"10/19/2013: A suicide bomber in an explosives-laden vehicle detonated at a military checkpoint in the Mlaiha suburb of Damascus city, Damascus governorate, Syria. At least 16 soldiers were killed and 15 other people, including civilians, were wounded in this attack. No group claimed responsibility for this incident; however, sources attributed it to the Al-Nusrah Front.",Bombing/Explosion,Military,Al-Nusrah Front,17,15
2013,Iraq,Rawah,34.477619,41.920773,"10/20/2013: At least one suicide bomber detonated at a city council meeting at the municipal headquarters in Rawa city, Al Anbar governorate, Iraq. In addition to the bomber, at least five people were killed and at least 10 other people were injured in the blast. This was one of three coordinated suicide attacks in the city within a short period of time. No group claimed responsibility for the incidents.",Bombing/Explosion,Government (General),Unknown,6,10
2013,Iraq,Rawah,34.477619,41.920773,"10/20/2013: At least one suicide bomber detonated at a police station in Rawa city, Al Anbar governorate, Iraq. In addition to the bomber, at least five police officers were killed and at least 13 other people were injured in the blast. This was one of three coordinated suicide attacks in the city within a short period of time. No group claimed responsibility for the incidents.",Bombing/Explosion,Police,Unknown,6,13
2013,Iraq,Baghdad,33.303566,44.371773,"10/20/2013: An explosive device detonated outside of a cafe in the Al-Amil area of Baghdad city, Baghdad governorate, Iraq. This was one of two coordinated bombings at the same location in a short period of time; this first blast was designed to draw a crowd that was targeted in a later suicide attack. At least 34 people were killed and at least 40 other people were injured across both explosions. No group claimed responsibility for the incidents.",Bombing/Explosion,Business,Unknown,17,20
2013,Iraq,Baghdad,33.303566,44.371773,"10/20/2013: A suicide bomber detonated at a cafe in the Al-Amil area of Baghdad city, Baghdad governorate, Iraq. This was one of two coordinated bombings at the same location in a short period of time; this explosion targeted a crowd that had gathered following an earlier blast. At least 34 people were killed and at least 40 other people were injured across both explosions. No group claimed responsibility for the incidents.",Bombing/Explosion,Business,Unknown,18,20
2013,Syria,Hamah,35.129181,36.760738,"10/20/2013: A suicide bomber in an explosives-laden vehicle attacked an army checkpoint near Hamah city, Hamah governorate, Syria. At least 31 people, including the assailant, were killed and 24 others were injured in this attack. The blast damaged at least 20 vehicles and several nearby homes and shops. No group claimed responsibility for this incident; however, sources attributed it to Al-Nusrah Front.",Bombing/Explosion,Military,Al-Nusrah Front,31,24
2013,South Sudan,Unknown,7.181962,32.356095,"10/20/2013: Assailants armed with automatic weapons and mortars attacked Ajuong village in Jonglei state, South Sudan. This was one of three coordinated attacks in South Sudan on this day, across which at least 79 people were killed, 87 were wounded, and 24 were abducted. No group claimed responsibility; however, authorities attributed the attacks to the David Yau Yau MIlitia and the Murle Tribe. The outcome of the kidnappings is unknown.",Hostage Taking (Kidnapping),Private Citizens & Property,David Yau Yau Militia,27,29
2013,South Sudan,Maar,6.89375,31.36775,"10/20/2013: Assailants armed with automatic weapons and mortars attacked Maar village in Jonglei state, South Sudan. This was one of three coordinated attacks in South Sudan on this day, across which at least 79 people were killed, 87 were wounded, and 24 were abducted. No group claimed responsibility; however, authorities attributed the attacks to the David Yau Yau MIlitia and the Murle Tribe. The outcome of the kidnappings is unknown.",Hostage Taking (Kidnapping),Private Citizens & Property,David Yau Yau Militia,26,29
2013,South Sudan,Paker,7.179238,32.358821,"10/20/2013: Assailants armed with automatic weapons and mortars attacked Paker village in Upper Nile state, South Sudan. This was one of three coordinated attacks in South Sudan on this day, across which at least 79 people were killed, 87 were wounded, and 24 were abducted. No group claimed responsibility; however, authorities attributed the attacks to the David Yau Yau MIlitia and the Murle Tribe. The outcome of the kidnappings is unknown.",Hostage Taking (Kidnapping),Private Citizens & Property,David Yau Yau Militia,26,29
2013,Egypt,Cairo,30.084629,31.334314,"10/20/2013: Assailants on motorcycles opened fire on wedding guests at the Coptic Church of the Virgin in Cairo city, Egypt. At least four people were killed and 17 others were injured in the assault. No group claimed responsibility; however, sources attributed the attack to Ansar Bayt al-Maqdis (Ansar Jerusalem).",Armed Assault,Private Citizens & Property,Ansar Bayt al-Maqdis (Ansar Jerusalem),4,17
2013,Pakistan,Nasirabad district,28.59189,68.039822,"10/21/2013: A Jaffar Express train struck an explosive device on the tracks in Nasirabad district, Balochistan province, Pakistan. The blast derailed the train and at least six people were killed and 18 others were wounded. The Baloch Republican Army (BRA) claimed responsibility for this attack.",Bombing/Explosion,Transportation,Baloch Republican Army (BRA),6,18
2013,Russia,Volgograd,48.7,44.516667,"10/21/2013: A suicide bomber, identified as Naida Asiyalova, detonated an explosive device on a city bus near Volgograd city, Volgograd oblast, Russia. In addition to the assailant at least five people were killed and at least 20 others were injured as a result of the blast. No group claimed responsibility for the incident.",Bombing/Explosion,Transportation,Unknown,6,20
2013,Iraq,Fallujah,33.349159,43.784199,"10/21/2013: Two suicide bombers detonated at police headquarters in Fallujah city, Al Anbar governorate, Iraq. The bombings were followed by gunfire, mortar rounds, and grenade attacks. In addition to the bombers, at least two police officers were killed and at least four more people, including civilians, were injured in the attack. The assailants also barricaded themselves in a nearby electricity department building, temporarily taking four people hostage. The hostages were freed a number of hours later. No group claimed responsibility for the incident; however, sources attributed the attack to Islamic State of Iraq and the Levant (ISIL).",Hostage Taking (Barricade Incident),Police,Islamic State of Iraq and the Levant (ISIL),4,4
2013,Nigeria,Goniri,11.485018,12.311891,"10/22/2013: Assailants armed with explosives, firebombs, and firearms attacked residents and buildings in Goniri village, Borno state, Nigeria. At least 18 villagers were killed and another 12 villagers were injured in the attack; several buildings were also damaged. No group claimed responsibility for the incident; however, sources suspected that Boko Haram was involved.",Armed Assault,Private Citizens & Property,Boko Haram,18,12
2013,Iraq,Madain,33.100529,44.584492,"10/23/2013: An explosive device detonated at a market in Madean town, Diyala governorate, Iraq. At least five people were killed and 13 people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,5,13
2013,Mali,Tessalit,20.252066,0.981526,"10/23/2013: Four suicide bombers detonated an explosives-laden vehicle at a United Nations (UN) checkpoint in Tessalit town, Kidal Region, Mali. In addition to the bombers, at least two UN peacekeepers from Chad and one civilian were killed in the blast; another six peacekeepers were also injured. Ansar al-Dine (Mali) claimed responsibility for the incident.",Bombing/Explosion,Government (Diplomatic),Ansar al-Dine (Mali),7,6
2013,Afghanistan,Baghlani Jadid district,36.180147,68.745389,"10/23/2013: Assailants attacked a police checkpost in the Mullakhel area of Baghlan-e Markazi district, Baghlan province, Afghanistan. One police officer and four assailants were killed; three civilians and seven assailants were wounded in the assault. The Taliban claimed responsibility for the incident.",Armed Assault,Police,Taliban,5,10
2013,Syria,Damascus,33.515244,36.292084,"10/23/2013: Assailants fired two mortar shells at Abaseen square in downtown Damascus city, Damascus governorate, Syria. At least four people were killed and another 18 were injured in the attack. This was one of four mortar attacks on targets in Damascus city on this day. No group claimed responsibility for the coordinated incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,18
2013,Afghanistan,Morghab district,35.613767,63.338699,"10/24/2013: Assailants stormed an Afghan Local Police (ALP) outpost in Bala Murghab district, Badghis province, Afghanistan. At least four police officers and two assailants were killed and another five people, including two assailants, were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Armed Assault,Police,Taliban,6,5
2013,Iraq,Baghdad,33.303566,44.371773,"10/24/2013: Assailants in a vehicle opened fire on a fast food restaurant in Amariyah district, Baghdad city, Baghdad governorate, Iraq. At least four people were killed and another eight people were injured in the attack. No group claimed responsibility for the incident.",Armed Assault,Business,Unknown,4,8
2013,Iraq,Mosul,36.354145,43.14357,"10/24/2013: Two suicide bombers wearing suicide vests in two explosives-filled vehicles detonated at the Operations Command center in Mosul city, Nineveh governorate, Iraq. In addition to the two suicide bombers, at least three people were killed and five were wounded in the blasts. No group claimed responsibility for the attack.",Bombing/Explosion,Police,Unknown,5,5
2013,Syria,Suq Wadi Barada,33.622993,36.11203,"10/25/2013: An explosives-laden vehicle detonated at the Osama Bin Zeid mosque in Suq Wadi Barada town, Rif Dimashq governorate, Syria. At least 40 people were killed and 24 others were injured in the blast. No group claimed responsibility for this incident; however, state sources reported Al-Nusra Front was responsible for the attack.",Bombing/Explosion,Religious Figures/Institutions,Al-Nusrah Front,40,24
2013,Iran,Saravan,27.380763,62.348337,"10/25/2013: Assailants opened fire on an Iran Border Guard Police patrol in Saravan city, Sistan-Baluchistan province, Iran. At least 14 border guards were killed and six other guards injured in the attack. Jaish al-Adl claimed responsibility for the attack, stating they targeted Iran due to the government's involvement in a Syrian massacre and the poor treatment of Sunnis in the country.",Armed Assault,Police,Jaish al-Adl,14,6
2013,Iraq,Yusufiyah,33.07835,44.254719,"10/25/2013: Two explosive devices detonated at an outdoor market in Youssifiyah town, Babil governorate, Iraq. At least five people were killed and another 15 people were injured in the blasts. No group claimed responsibility for the incident.",Bombing/Explosion,Private Citizens & Property,Unknown,5,15
2013,Iraq,Baghdad,33.303566,44.371773,"10/25/2013: An explosive device detonated at a cafe in the Basmaya district of Baghdad city, Baghdad governorate, Iraq. At least four people were killed and 15 people were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion,Business,Unknown,4,15
2013,Iraq,Nahrawan,33.375759,44.702866,"10/27/2013: An explosives-laden vehicle detonated near a busy marketplace in Nahrawan town, Diyala governorate, Iraq. This was one of two blasts in Nahrawan within minutes of each other and one of 10 in and around Baghdad on the same day. At least seven people were killed and 15 others were injured across the two explosions. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,8
2013,Iraq,Baghdad,33.303566,44.371773,"10/27/2013: An explosives-laden vehicle detonated in Shaab neighborhood, Baghdad city, Baghdad governorate, Iraq. At least four people were killed and nine others were injured in the blast. This was one of 10 attacks in and around Baghdad on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,4,9
2013,Iraq,Baghdad,33.303566,44.371773,"10/27/2013: An explosives-laden vehicle detonated near a public market in Abu Dsheer neighborhood, Baghdad city, Baghdad governorate, Iraq. At least six people were killed and 13 others were injured in the blast. This was one of 10 attacks in and around Baghdad on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,6,13
2013,Iraq,Baghdad,33.303566,44.371773,"10/27/2013: An explosives-laden vehicle detonated near a public market in Huriya neighborhood, Baghdad city, Baghdad governorate, Iraq. At least five people were killed and 12 others were injured in the blast. This was one of 10 attacks in and around Baghdad on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,5,12
2013,Iraq,Baghdad,33.303566,44.371773,"10/27/2013: An explosives-laden vehicle detonated near a bus station in Mashtal neighborhood, Baghdad city, Baghdad governorate, Iraq. At least four people were killed and seven others were injured in the blast. This was one of 10 attacks in and around Baghdad on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion,Transportation,Unknown,4,7
2013,Iraq,Baghdad,33.303566,44.371773,"10/27/2013: An explosives-laden vehicle detonated in Bayaa neighborhood, Baghdad city, Baghdad governorate, Iraq. At least five people were killed and 11 others were injured in the blast. This was one of 10 attacks in and around Baghdad on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion,Private Citizens & Property,Unknown,5,11
2013,Iraq,Mosul,36.354145,43.14357,"10/27/2013: A suicide bomber in an explosives-laden vehicle detonated near a group of Iraqi Armed Services personnel waiting to collect paychecks in Mosul city, Nineveh governorate, Iraq. In addition to the bomber, at least 14 people, including soldiers and civilians, were killed and 25 others were injured. No group claimed responsibility for the attack.",Bombing/Explosion,Military,Unknown,15,25
2013,Afghanistan,Habib,33.326099,68.416649,"10/27/2013: An explosive device detonated near a civilian bus in the vicinity of Habib Gulda village, Ghazni province, Afghanistan. At least 18 civilians were killed and five others were wounded in the blast. No group claimed responsibility; however, sources attributed the attack to the Taliban.",Bombing/Explosion,Private Citizens & Property,Taliban,18,5
2013,Iraq,Tarmiyah,33.669689,44.381317,"10/27/2013: An explosive device detonated near a market in Tarmiyah town, Saladin governorate, Iraq. At least four people were killed and eight others were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Unknown,4,8
2013,China,Beijing,39.903948,116.391805,"10/28/2013: Three assailants drove a vehicle through a crowd in Tiananmen Square, Beijing, China. At least five people, including the three drivers, were killed and 40 others were injured in the attack. The Turkestan Islamic Party claimed responsibility for the incident.",Armed Assault,Private Citizens & Property,Turkestan Islamic Party,5,40
2013,Iraq,Baghdad,33.303566,44.371773,"10/28/2013: An explosive device detonated near a cafe in Arab Jubur neighborhood, Baghdad city, Baghdad governorate, Iraq. At least six people were killed and 14 others were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion,Business,Unknown,6,14
2013,Pakistan,Zain,28.949467,69.059311,"10/29/2013: Assailants opened fire at the private residence of Dodha Khan in Zain village, Balochistan province, Pakistan. Khan, a tribal elder, and six of his family members were killed and four others were injured in the assault. No group claimed responsibility for the incident.",Armed Assault,Private Citizens & Property,Unknown,7,4
2013,Iraq,Tarmiyah,33.669689,44.381317,"10/29/2013: A suicide bomber detonated in the garden of a private residence belonging to a leader of the Sahwa Council in Tarmiyah town, Saladin governorate, Iraq. This was one of two attacks at this home on the same day; this first blast was meant to create panic in the middle of a dinner party. In addition to the two bombers, at least 12 people, including members of the Sahwa Council and the Iraqi Armed Forces, were killed and 23 others were injured across to two explosions. No group claimed responsibility for the incidents.",Bombing/Explosion,Terrorists/Non-State Militia,Unknown,7,12
2013,Iraq,Tarmiyah,33.669689,44.381317,"10/29/2013: A suicide bomber detonated at the gate of a private residence belonging to a leader of the Sahwa Council in Tarmiyah town, Saladin governorate, Iraq. This was one of two attacks at this home on the same day; this later blast was meant to target party guests who were fleeing from the site of an earlier explosion. In addition to the two bombers, at least 12 people, including members of the Sahwa Council and the Iraqi Armed Forces, were killed and 23 others were injured across to two explosions. No group claimed responsibility for the incidents.",Bombing/Explosion,Terrorists/Non-State Militia,Unknown,7,11
2013,Iraq,Mowla,36.328286,42.835975,"10/29/2013: A suicide bomber detonated an explosives-laden truck near a police station in Mowla village, Nineveh governorate, Iraq. In addition to the bomber, at least seven people, including three police officers, were killed and 21 others were wounded in the blast. This was one of two attacks that the same location. No group claimed responsibility for the incidents.",Bombing/Explosion,Police,Unknown,8,21
2013,Democratic Republic of the Congo,Lubumbashi,-11.664677,27.479553,"10/29/2013: Approximately 50 assailants set fire to and opened fire on the private residence of Lieutenant John Kamango in Lubumbashi city, Katanga province, Democratic Republic of the Congo. Kamango, the commander of the provincial military police, was not harmed; however, at least six people, including three assailants, were killed and nine assailants were injured in the assault. No group claimed responsibility; however, sources attributed the attack to the Mayi Mayi.",Armed Assault,Military,Mayi Mayi,6,9
